				Healthy						Sick					
P52907	F-actin-capping protein subunit alpha-1 OS=Homo sapiens GN=CAPZA1 PE=1 SV=3	0.012	0.042	0.125	0.113	0.153	0.146	0.211	0.162	3.277	1.703	1.146	0.417	0.270	0.260
P68871	Hemoglobin subunit beta OS=Homo sapiens GN=HBB PE=1 SV=2	0.000	0.003	1.900	1.664	1.949	2.388	2.738	2.261	0.877	0.727	1.050	0.924	0.455	1.080
P12429	Annexin A3 OS=Homo sapiens GN=ANXA3 PE=1 SV=3	0.001	0.006	0.976	0.936	2.956	1.230	2.310	1.897	0.238	0.568	0.547	0.463	0.565	0.535
P24752	Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens GN=ACAT1 PE=1 SV=1	0.002	0.011	0.127	0.259	0.529	0.455	0.536	0.328	2.088	1.679	1.017	0.910	1.064	0.701
P09622	Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens GN=DLD PE=1 SV=2	0.039	0.098	1.018	1.159	0.905	1.577	0.935	1.116	0.541	0.912	0.725	0.944	0.305	0.870
P35442	Thrombospondin-2 OS=Homo sapiens GN=THBS2 PE=1 SV=2	0.792	0.863	0.584	0.051	0.045	0.089	0.023	0.026	3.082	0.070	0.085	0.067	0.012	0.022
Q8NBP7	Proprotein convertase subtilisin/kexin type 9 OS=Homo sapiens GN=PCSK9 PE=1 SV=3	0.000	0.001	0.296	0.303	0.104	0.217	0.249	0.186	1.193	1.968	1.337	1.242	1.127	0.675
P07358	Complement component C8 beta chain OS=Homo sapiens GN=C8B PE=1 SV=3	0.823	0.883	1.185	0.933	1.011	1.135	1.192	1.298	0.881	1.237	0.820	1.352	1.013	1.388
O43493	Trans-Golgi network integral membrane protein 2 OS=Homo sapiens GN=TGOLN2 PE=1 SV=2	0.315	0.445	1.031	0.961	1.064	0.978	0.962	1.173	0.522	1.114	1.052	0.971	1.068	0.825
P27169	Serum paraoxonase/arylesterase 1 OS=Homo sapiens GN=PON1 PE=1 SV=3	0.022	0.064	0.752	0.636	0.528	0.642	0.466	0.667	0.994	1.450	1.011	1.411	0.571	0.743
P25311	Zinc-alpha-2-glycoprotein OS=Homo sapiens GN=AZGP1 PE=1 SV=2	0.974	0.980	0.519	1.681	0.832	0.992	0.306	1.339	0.344	0.253	1.900	1.222	0.817	1.641
Q86UX7	Fermitin family homolog 3 OS=Homo sapiens GN=FERMT3 PE=1 SV=1	0.069	0.145	0.940	0.765	1.517	0.806	1.802	1.255	0.652	0.830	1.155	0.841	0.782	0.530
P07357	Complement component C8 alpha chain OS=Homo sapiens GN=C8A PE=1 SV=2	0.154	0.266	1.536	0.998	1.700	4.334	0.982	1.766	0.485	0.494	0.710	0.239	7.278	0.372
P27824	Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2	0.120	0.220	1.285	1.243	3.131	0.944	1.051	0.833	0.299	0.895	1.176	0.289	1.335	1.003
P25774	Cathepsin S OS=Homo sapiens GN=CTSS PE=1 SV=3	0.035	0.091	0.816	0.633	0.654	0.688	0.393	0.404	0.988	1.374	1.174	0.769	0.733	0.573
P37840	Alpha-synuclein OS=Homo sapiens GN=SNCA PE=1 SV=1	0.019	0.057	1.170	1.338	0.742	1.095	2.693	1.667	0.485	0.758	0.961	0.943	0.482	0.830
P48163	NADP-dependent malic enzyme OS=Homo sapiens GN=ME1 PE=1 SV=1	0.002	0.012	1.130	0.991	2.051	0.986	1.668	1.040	0.572	0.594	1.017	0.417	0.476	0.337
P00352	Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2	0.187	0.306	1.246	0.952	0.959	1.254	1.361	1.253	0.671	1.421	1.089	0.992	0.477	1.074
P04040	Catalase OS=Homo sapiens GN=CAT PE=1 SV=3	0.016	0.051	0.686	0.627	0.554	0.881	0.826	0.920	1.142	1.292	1.023	0.978	0.995	0.755
P68431	Histone H3.1 OS=Homo sapiens GN=HIST1H3A PE=1 SV=2	0.045	0.108	0.763	1.059	0.947	1.020	0.648	1.290	0.305	0.426	0.715	1.079	0.628	0.568
P21926	CD9 antigen OS=Homo sapiens GN=CD9 PE=1 SV=4	0.001	0.010	0.822	0.733	1.954	0.904	1.636	1.377	0.291	0.525	0.806	0.424	0.385	0.395
P05160	Coagulation factor XIII B chain OS=Homo sapiens GN=F13B PE=1 SV=3	0.016	0.051	0.800	0.857	3.072	1.188	2.380	1.246	0.488	0.627	0.587	0.614	0.710	0.888
P61026	Ras-related protein Rab-10 OS=Homo sapiens GN=RAB10 PE=1 SV=1	0.000	0.003	0.186	0.348	0.324	0.445	0.369	0.354	0.722	1.184	1.280	1.913	1.053	0.652
P06727	Apolipoprotein A-IV OS=Homo sapiens GN=APOA4 PE=1 SV=3	0.000	0.001	1.404	1.345	1.184	1.743	1.392	2.025	0.517	0.692	0.581	0.636	0.467	0.714
P12821	Angiotensin-converting enzyme OS=Homo sapiens GN=ACE PE=1 SV=1	0.111	0.207	0.796	0.630	0.783	1.170	0.934	1.021	0.730	1.201	1.346	1.261	1.064	1.044
P07148	Fatty acid-binding protein, liver OS=Homo sapiens GN=FABP1 PE=1 SV=1	0.007	0.029	0.639	0.721	0.524	0.726	0.600	0.612	0.917	0.920	1.266	1.223	1.207	0.623
P06744	Glucose-6-phosphate isomerase OS=Homo sapiens GN=GPI PE=1 SV=4	0.461	0.589	0.309	0.263	0.276	0.190	0.309	0.288	1.427	0.880	0.436	0.208	0.152	0.146
P62805	Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2	0.000	0.000	0.202	0.150	0.273	0.378	0.290	0.250	1.148	1.461	1.513	1.908	1.354	1.030
P60953	Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=1 SV=2	0.723	0.807	0.608	0.603	0.441	0.539	0.888	1.313	0.504	1.125	0.508	0.925	0.730	0.824
P21399	Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3	0.005	0.023	0.260	0.059	0.153	0.073	0.107	0.096	3.181	0.394	1.141	2.140	0.507	0.168
P02746	Complement C1q subcomponent subunit B OS=Homo sapiens GN=C1QB PE=1 SV=3	0.025	0.070	1.390	1.141	2.010	2.091	2.176	1.887	1.057	0.638	1.400	1.740	0.545	0.944
Q9BS26	Endoplasmic reticulum resident protein 44 OS=Homo sapiens GN=ERP44 PE=1 SV=1	0.515	0.637	0.284	0.182	0.231	0.841	2.885	1.576	1.138	0.661	0.831	1.472	0.746	0.503
Q7Z7M0	Multiple epidermal growth factor-like domains protein 8 OS=Homo sapiens GN=MEGF8 PE=1 SV=2	0.000	0.001	1.441	1.176	1.244	2.131	1.904	1.886	0.357	0.491	0.574	0.616	0.460	0.696
Q15084	Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1	0.680	0.778	0.128	0.505	1.122	0.442	0.785	0.533	0.519	0.564	0.547	0.350	0.340	0.306
O15511	Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=1 SV=3	0.004	0.019	0.097	0.053	0.044	0.141	0.194	0.156	3.475	1.843	1.143	0.437	0.262	0.250
Q5JPE7	Nodal modulator 2 OS=Homo sapiens GN=NOMO2 PE=1 SV=1	0.182	0.302	1.119	0.828	0.390	0.774	1.072	0.708	1.190	0.729	0.902	0.826	1.270	1.297
P12814	Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2	0.017	0.053	0.923	0.876	2.247	1.341	1.308	1.558	1.055	0.682	0.749	0.648	0.371	1.016
A1L4H1	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D OS=Homo sapiens GN=SSC5D PE=1 SV=3	0.189	0.308	0.805	0.088	0.150	0.128	0.225	0.319	0.139	0.083	0.111	0.236	0.122	0.123
Q9Y490	Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3	0.208	0.331	1.237	0.649	0.716	1.156	1.461	0.934	1.389	1.751	1.202	2.325	0.560	1.675
P22392	Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2 PE=1 SV=1	0.000	0.003	0.218	0.243	0.214	0.211	0.290	0.317	0.603	1.000	1.968	1.421	1.496	0.773
Q14624	Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens GN=ITIH4 PE=1 SV=4	0.005	0.023	0.552	0.557	0.559	0.505	0.479	0.776	0.783	0.812	1.697	1.628	0.810	1.051
P32189	Glycerol kinase OS=Homo sapiens GN=GK PE=1 SV=3	0.007	0.027	0.422	0.211	0.308	0.237	0.334	0.264	1.593	0.582	1.505	0.699	0.728	0.340
P61160	Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1	0.098	0.190	0.676	0.569	0.675	0.700	0.681	0.496	0.671	1.185	0.818	1.149	0.683	0.568
Q6UXB8	Peptidase inhibitor 16 OS=Homo sapiens GN=PI16 PE=1 SV=1	0.138	0.247	0.735	0.535	0.480	0.739	0.614	0.698	1.106	1.228	0.968	0.841	0.737	0.418
Q13642	Four and a half LIM domains protein 1 OS=Homo sapiens GN=FHL1 PE=1 SV=4	0.141	0.249	0.595	0.517	0.722	0.773	0.821	0.777	1.960	1.175	1.657	0.913	0.621	0.515
P52566	Rho GDP-dissociation inhibitor 2 OS=Homo sapiens GN=ARHGDIB PE=1 SV=3	0.009	0.034	0.265	0.398	0.490	0.534	0.597	0.471	1.300	0.481	0.620	1.765	1.130	1.049
P05543	Thyroxine-binding globulin OS=Homo sapiens GN=SERPINA7 PE=1 SV=2	0.078	0.159	0.996	1.151	0.957	1.341	2.206	2.582	0.560	0.830	1.604	0.665	1.462	0.548
P08637	Low affinity immunoglobulin gamma Fc region receptor III-A OS=Homo sapiens GN=FCGR3A PE=1 SV=2	0.045	0.108	0.230	0.226	0.694	0.146	0.200	0.181	2.901	1.532	1.160	0.444	0.283	0.239
Q96NZ9	Proline-rich acidic protein 1 OS=Homo sapiens GN=PRAP1 PE=1 SV=2	0.204	0.327	1.073	1.111	1.157	1.302	0.949	0.952	0.401	1.076	1.380	1.015	0.973	0.365
P02788	Lactotransferrin OS=Homo sapiens GN=LTF PE=1 SV=6	0.889	0.924	0.650	0.774	2.230	0.631	1.147	0.588	1.761	0.525	1.420	0.465	0.999	0.601
P11021	78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2	0.069	0.146	0.456	0.371	0.372	0.375	0.373	0.313	0.467	0.894	1.280	0.539	0.370	0.409
P16284	Platelet endothelial cell adhesion molecule OS=Homo sapiens GN=PECAM1 PE=1 SV=1	0.060	0.131	0.241	0.024	0.010	0.325	0.173	0.147	7.767	0.191	0.276	0.391	0.423	0.205
P09972	Fructose-bisphosphate aldolase C OS=Homo sapiens GN=ALDOC PE=1 SV=2	0.762	0.843	0.898	0.127	0.125	0.010	0.010	0.010	0.169	0.138	0.200	0.029	0.058	0.010
P30048	Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens GN=PRDX3 PE=1 SV=3	0.127	0.229	1.396	0.784	1.410	1.295	1.238	1.310	0.998	1.345	0.863	1.052	0.934	0.938
P68104	Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1	0.857	0.910	0.991	0.642	1.546	0.543	0.870	0.619	1.264	1.506	1.315	0.457	0.682	0.496
P07686	Beta-hexosaminidase subunit beta OS=Homo sapiens GN=HEXB PE=1 SV=3	0.002	0.011	1.681	1.111	0.991	1.170	1.395	1.064	0.510	0.806	0.722	0.487	0.934	0.454
P04075	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	0.071	0.148	0.343	0.024	0.074	0.083	0.121	0.092	2.128	0.322	0.519	0.124	0.455	0.057
P15153	Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens GN=RAC2 PE=1 SV=1	0.014	0.045	2.277	1.175	2.084	0.758	1.261	0.990	0.557	0.453	0.995	0.708	0.851	0.722
P49189	4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=1 SV=3	0.651	0.759	0.579	0.064	0.054	0.037	0.031	0.032	0.087	0.048	0.142	0.021	0.041	0.032
P22891	Vitamin K-dependent protein Z OS=Homo sapiens GN=PROZ PE=1 SV=2	0.102	0.195	0.135	0.106	0.084	0.920	0.697	1.055	1.049	0.483	4.908	0.830	1.796	0.233
P12931	Proto-oncogene tyrosine-protein kinase Src OS=Homo sapiens GN=SRC PE=1 SV=3	0.020	0.060	0.557	0.409	0.756	0.462	0.761	0.690	0.363	0.408	0.634	0.305	0.354	0.336
P14618	Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4	0.000	0.002	1.219	2.151	1.918	1.752	1.321	1.433	0.653	0.763	0.762	0.630	0.601	0.627
Q13790	Apolipoprotein F OS=Homo sapiens GN=APOF PE=1 SV=2	0.819	0.882	0.673	0.292	0.409	0.390	0.577	0.470	0.586	0.379	0.621	0.492	0.457	0.341
Q5JXB2	Putative ubiquitin-conjugating enzyme E2 N-like OS=Homo sapiens GN=UBE2NL PE=1 SV=1	0.603	0.713	1.054	0.725	0.779	0.924	1.228	1.150	1.290	0.994	1.065	0.701	0.657	0.791
Q16851	UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens GN=UGP2 PE=1 SV=5	0.004	0.018	1.376	1.185	1.212	1.152	1.354	1.817	0.558	0.726	0.966	1.100	0.466	0.700
P02794	Ferritin heavy chain OS=Homo sapiens GN=FTH1 PE=1 SV=2	0.006	0.025	0.623	0.719	2.390	1.313	1.817	1.051	0.274	0.671	0.684	0.416	0.422	0.459
Q9HAV0	Guanine nucleotide-binding protein subunit beta-4 OS=Homo sapiens GN=GNB4 PE=1 SV=3	0.001	0.007	1.231	1.276	1.153	1.344	1.379	1.613	0.565	0.758	0.801	1.006	0.559	0.838
P15085	Carboxypeptidase A1 OS=Homo sapiens GN=CPA1 PE=1 SV=2	0.883	0.922	0.115	0.452	0.817	0.264	0.541	0.438	0.970	0.538	0.587	0.214	0.289	0.198
P61224	Ras-related protein Rap-1b OS=Homo sapiens GN=RAP1B PE=1 SV=1	0.000	0.004	1.524	1.330	1.289	1.217	1.877	2.950	0.489	0.429	1.025	0.496	0.381	0.681
Q07954	Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens GN=LRP1 PE=1 SV=2	0.109	0.207	0.921	0.967	0.589	0.907	0.853	1.041	0.811	1.448	1.123	1.483	0.757	1.363
P09467	Fructose-1,6-bisphosphatase 1 OS=Homo sapiens GN=FBP1 PE=1 SV=5	0.679	0.777	0.494	0.324	0.585	0.450	0.652	0.520	0.614	0.471	0.689	0.432	0.349	0.316
Q9UGM5	Fetuin-B OS=Homo sapiens GN=FETUB PE=1 SV=2	0.666	0.769	0.929	0.099	0.110	0.058	0.044	0.035	0.969	0.190	0.299	0.044	0.104	0.025
Q13201	Multimerin-1 OS=Homo sapiens GN=MMRN1 PE=1 SV=3	0.870	0.914	0.314	0.739	0.585	0.644	0.220	0.586	0.201	0.209	0.789	0.623	0.430	0.909
P13716	Delta-aminolevulinic acid dehydratase OS=Homo sapiens GN=ALAD PE=1 SV=1	0.000	0.002	0.140	0.040	0.037	0.034	0.036	0.018	1.525	1.025	0.265	0.318	0.328	0.350
O14950	Myosin regulatory light chain 12B OS=Homo sapiens GN=MYL12B PE=1 SV=2	0.393	0.521	0.831	0.089	0.102	0.023	0.075	0.027	0.185	0.091	0.102	0.017	0.024	0.012
P04406	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3	0.700	0.788	0.811	0.292	0.318	0.035	0.048	0.042	1.090	0.337	0.445	0.063	0.133	0.025
P11684	Uteroglobin OS=Homo sapiens GN=SCGB1A1 PE=1 SV=1	0.068	0.145	0.679	0.210	0.791	0.421	0.638	0.519	0.381	0.384	0.424	0.241	0.279	0.216
P02792	Ferritin light chain OS=Homo sapiens GN=FTL PE=1 SV=2	0.013	0.045	0.552	0.623	1.693	0.774	1.422	1.260	0.289	0.687	0.766	0.420	0.374	0.394
Q9UBP4	Dickkopf-related protein 3 OS=Homo sapiens GN=DKK3 PE=1 SV=2	0.236	0.363	0.567	0.646	2.321	0.676	1.416	0.990	0.735	0.561	1.107	0.534	0.838	0.564
Q9NPY3	Complement component C1q receptor OS=Homo sapiens GN=CD93 PE=1 SV=3	0.000	0.000	0.484	0.532	0.592	0.552	0.539	0.370	1.995	1.525	1.409	1.752	1.784	1.654
P41222	Prostaglandin-H2 D-isomerase OS=Homo sapiens GN=PTGDS PE=1 SV=1	0.019	0.058	0.013	0.121	0.459	0.189	0.233	0.260	1.417	0.587	0.396	1.366	1.012	0.495
P36871	Phosphoglucomutase-1 OS=Homo sapiens GN=PGM1 PE=1 SV=3	0.031	0.083	0.525	0.162	0.317	0.326	0.311	0.600	3.818	0.519	1.556	2.037	1.304	0.249
Q9H4A9	Dipeptidase 2 OS=Homo sapiens GN=DPEP2 PE=1 SV=2	0.291	0.423	0.924	0.123	0.094	0.114	0.105	0.124	0.673	0.297	0.150	0.144	0.319	0.204
Q9NS71	Gastrokine-1 OS=Homo sapiens GN=GKN1 PE=2 SV=3	0.312	0.443	1.032	0.772	0.781	0.950	0.859	0.909	0.681	0.990	1.102	1.566	1.019	0.865
P68371	Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1	0.065	0.139	1.429	1.072	0.729	1.024	1.418	1.335	0.660	0.743	0.614	0.730	1.288	1.054
P07477	Trypsin-1 OS=Homo sapiens GN=PRSS1 PE=1 SV=1	0.009	0.034	0.370	0.425	0.273	0.355	0.368	0.352	0.578	0.432	0.464	0.878	0.808	0.458
Q14520	Hyaluronan-binding protein 2 OS=Homo sapiens GN=HABP2 PE=1 SV=1	0.868	0.914	1.525	1.223	0.925	2.102	2.758	2.170	2.168	1.924	2.272	1.822	1.321	1.167
P02748	Complement component C9 OS=Homo sapiens GN=C9 PE=1 SV=2	0.143	0.251	0.360	0.117	0.430	0.375	0.421	0.394	2.900	0.661	0.875	0.550	0.254	0.280
P00338	L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2	0.373	0.504	0.530	0.354	0.239	0.233	0.159	0.144	0.371	0.343	0.743	0.641	0.245	0.112
P20810	Calpastatin OS=Homo sapiens GN=CAST PE=1 SV=4	0.179	0.297	0.652	0.455	0.621	0.028	0.011	0.133	0.712	0.544	0.752	0.164	5.259	0.087
Q9HBW9	Adhesion G protein-coupled receptor L4 OS=Homo sapiens GN=ADGRL4 PE=1 SV=3	0.094	0.184	1.431	1.067	1.130	1.216	1.328	1.267	0.785	1.208	0.505	1.075	1.411	0.668
P16035	Metalloproteinase inhibitor 2 OS=Homo sapiens GN=TIMP2 PE=1 SV=2	0.002	0.012	0.122	0.017	0.010	0.054	0.368	0.282	2.646	2.286	1.599	3.411	1.203	2.601
P48735	Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens GN=IDH2 PE=1 SV=2	0.006	0.026	0.412	0.074	0.594	0.129	0.277	0.930	2.261	3.053	0.388	1.497	5.982	1.785
P00480	Ornithine carbamoyltransferase, mitochondrial OS=Homo sapiens GN=OTC PE=1 SV=3	0.038	0.095	2.760	1.620	2.811	1.241	1.180	0.973	1.227	1.371	0.742	1.205	0.665	0.493
P04899	Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens GN=GNAI2 PE=1 SV=3	0.053	0.120	0.819	0.795	0.634	1.487	0.795	0.827	0.974	1.108	1.318	1.480	0.945	1.313
Q76LX8	A disintegrin and metalloproteinase with thrombospondin motifs 13 OS=Homo sapiens GN=ADAMTS13 PE=1 SV=1	0.013	0.045	0.537	0.789	0.621	0.673	0.678	0.534	1.054	0.955	1.242	1.225	0.763	0.625
P15151	Poliovirus receptor OS=Homo sapiens GN=PVR PE=1 SV=2	0.017	0.054	0.336	0.310	0.275	0.427	0.475	0.588	1.434	0.965	1.012	0.639	0.568	0.384
P23141	Liver carboxylesterase 1 OS=Homo sapiens GN=CES1 PE=1 SV=2	0.022	0.063	0.013	0.135	0.180	0.445	0.259	0.417	0.442	1.116	0.752	2.624	1.048	0.475
Q99497	Protein deglycase DJ-1 OS=Homo sapiens GN=PARK7 PE=1 SV=2	0.060	0.131	0.705	1.102	2.819	1.186	1.682	0.909	0.481	1.016	1.671	0.569	0.380	0.459
P23229	Integrin alpha-6 OS=Homo sapiens GN=ITGA6 PE=1 SV=5	0.266	0.395	0.724	0.028	0.033	0.027	0.026	0.023	1.103	0.089	0.109	0.120	0.050	0.032
O75022	Leukocyte immunoglobulin-like receptor subfamily B member 3 OS=Homo sapiens GN=LILRB3 PE=2 SV=3	0.856	0.910	1.460	0.873	1.284	1.010	0.754	0.719	0.491	1.510	1.179	0.750	1.641	0.642
Q15848	Adiponectin OS=Homo sapiens GN=ADIPOQ PE=1 SV=1	0.086	0.171	0.808	1.226	1.191	0.756	1.093	1.186	0.966	0.509	1.015	0.762	0.631	0.939
P05186	Alkaline phosphatase, tissue-nonspecific isozyme OS=Homo sapiens GN=ALPL PE=1 SV=4	0.034	0.088	0.701	0.545	0.603	0.793	0.541	0.668	1.139	1.235	1.154	1.553	0.736	0.541
P06899	Histone H2B type 1-J OS=Homo sapiens GN=HIST1H2BJ PE=1 SV=3	0.000	0.004	0.175	0.262	0.214	0.250	0.199	0.254	0.672	1.651	0.858	1.992	0.620	1.002
P06737	Glycogen phosphorylase, liver form OS=Homo sapiens GN=PYGL PE=1 SV=4	0.792	0.863	0.797	0.059	0.111	0.042	0.066	0.045	0.209	0.096	0.138	0.042	0.067	0.035
Q9NY97	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 OS=Homo sapiens GN=B3GNT2 PE=1 SV=2	0.571	0.685	0.197	0.735	1.246	0.998	1.356	1.366	0.603	0.751	0.869	0.689	0.701	0.571
Q99972	Myocilin OS=Homo sapiens GN=MYOC PE=1 SV=2	0.161	0.275	0.706	0.823	0.487	0.737	0.859	1.070	0.590	0.856	0.959	1.033	2.110	1.169
Q9NZD4	Alpha-hemoglobin-stabilizing protein OS=Homo sapiens GN=AHSP PE=1 SV=1	0.001	0.008	0.539	0.425	0.333	0.573	0.570	0.644	0.712	1.024	1.195	1.625	2.128	1.322
P02790	Hemopexin OS=Homo sapiens GN=HPX PE=1 SV=2	0.297	0.427	0.844	0.046	0.083	0.040	0.072	0.037	0.066	0.074	0.085	0.027	0.027	0.032
P21333	Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4	0.051	0.118	0.638	0.721	0.601	0.992	0.532	0.577	0.738	1.522	0.943	1.455	0.649	0.857
P18065	Insulin-like growth factor-binding protein 2 OS=Homo sapiens GN=IGFBP2 PE=1 SV=2	0.077	0.159	0.441	0.094	0.115	0.427	0.097	0.137	4.464	0.194	0.644	0.650	0.226	0.283
Q03591	Complement factor H-related protein 1 OS=Homo sapiens GN=CFHR1 PE=1 SV=2	0.001	0.005	0.734	0.521	0.481	0.760	0.725	0.712	1.212	1.089	1.861	1.535	1.200	0.917
Q7Z3B1	Neuronal growth regulator 1 OS=Homo sapiens GN=NEGR1 PE=1 SV=3	0.020	0.060	0.848	0.630	0.563	0.906	0.622	0.839	0.876	1.173	0.999	2.350	1.027	1.038
P12259	Coagulation factor V OS=Homo sapiens GN=F5 PE=1 SV=4	0.090	0.176	1.169	1.084	0.956	1.196	1.160	1.296	0.712	0.792	1.084	0.986	1.000	1.226
Q16706	Alpha-mannosidase 2 OS=Homo sapiens GN=MAN2A1 PE=1 SV=2	0.175	0.292	1.554	1.352	1.512	1.782	0.576	0.832	0.841	0.937	2.023	0.612	0.490	0.452
P61604	10 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPE1 PE=1 SV=2	0.008	0.032	0.093	0.151	0.200	0.332	0.741	0.504	0.712	0.843	1.196	1.936	0.989	0.518
P07437	Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2	0.000	0.003	0.332	0.288	0.389	0.583	0.298	0.630	1.510	1.739	1.048	2.219	1.895	0.705
O43505	Beta-1,4-glucuronyltransferase 1 OS=Homo sapiens GN=B4GAT1 PE=1 SV=1	0.943	0.958	0.606	0.455	1.019	0.340	0.605	0.331	1.200	0.532	0.605	0.333	0.537	0.311
P32754	4-hydroxyphenylpyruvate dioxygenase OS=Homo sapiens GN=HPD PE=1 SV=2	0.000	0.004	1.425	1.247	1.133	1.068	1.322	1.769	0.399	0.620	0.571	0.936	0.441	0.482
P36955	Pigment epithelium-derived factor OS=Homo sapiens GN=SERPINF1 PE=1 SV=4	0.958	0.969	0.840	1.075	0.634	0.614	0.982	0.553	0.809	0.673	1.193	1.059	0.408	0.639
Q9UBW5	Bridging integrator 2 OS=Homo sapiens GN=BIN2 PE=1 SV=3	0.691	0.784	0.731	0.105	0.185	0.057	0.089	0.066	1.553	0.148	0.243	0.130	0.068	0.046
Q9UKU6	Thyrotropin-releasing hormone-degrading ectoenzyme OS=Homo sapiens GN=TRHDE PE=2 SV=1	0.206	0.329	0.825	0.784	0.546	0.534	0.507	1.256	0.556	1.197	1.253	1.016	0.552	1.964
P13497	Bone morphogenetic protein 1 OS=Homo sapiens GN=BMP1 PE=1 SV=2	0.009	0.033	0.134	0.081	0.153	0.139	0.153	0.153	3.147	1.778	1.300	0.445	0.285	0.236
Q13772	Nuclear receptor coactivator 4 OS=Homo sapiens GN=NCOA4 PE=1 SV=1	0.005	0.022	0.694	0.866	1.923	1.152	1.842	1.512	0.488	0.696	0.822	0.432	0.558	0.594
P30043	Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=1 SV=3	0.047	0.111	1.398	1.088	1.119	1.008	1.087	0.819	0.791	0.713	0.960	0.616	1.178	0.487
P05106	Integrin beta-3 OS=Homo sapiens GN=ITGB3 PE=1 SV=2	0.008	0.031	0.423	0.406	0.913	0.620	0.902	0.639	1.856	1.208	1.348	0.918	0.715	1.529
P05089	Arginase-1 OS=Homo sapiens GN=ARG1 PE=1 SV=2	0.853	0.909	0.923	0.159	1.107	0.796	0.914	0.396	0.872	1.309	0.924	0.278	0.974	0.263
P20073	Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3	0.001	0.007	0.849	0.761	0.865	1.042	0.673	0.777	1.262	1.420	1.838	1.582	1.134	1.077
P21695	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic OS=Homo sapiens GN=GPD1 PE=1 SV=4	0.464	0.591	0.751	0.653	0.362	0.268	0.231	0.207	0.720	0.621	1.206	0.408	0.261	0.199
P30086	Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3	0.054	0.121	0.490	0.469	0.738	0.856	0.283	0.375	0.536	1.294	0.861	0.961	2.024	0.500
P39060	Collagen alpha-1(XVIII) chain OS=Homo sapiens GN=COL18A1 PE=1 SV=5	0.000	0.001	1.515	1.239	1.290	1.795	1.964	1.635	0.458	0.583	0.485	0.489	0.848	0.735
P02655	Apolipoprotein C-II OS=Homo sapiens GN=APOC2 PE=1 SV=1	0.167	0.284	0.659	0.677	1.689	0.826	1.385	0.807	0.462	0.564	0.944	0.624	0.859	0.882
P16070	CD44 antigen OS=Homo sapiens GN=CD44 PE=1 SV=3	0.888	0.924	0.952	0.910	1.063	1.181	1.170	0.862	0.901	1.142	1.365	1.120	0.711	1.076
P31949	Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2	0.006	0.026	0.830	0.503	0.849	0.343	0.492	0.146	2.110	1.726	0.954	1.811	0.879	1.379
P34096	Ribonuclease 4 OS=Homo sapiens GN=RNASE4 PE=1 SV=3	0.676	0.776	0.632	0.220	0.476	0.263	0.424	0.385	0.417	0.392	0.605	0.338	0.230	0.205
